<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20180914,130600,1083.8800000,1083.9100000,1083.5900000,1083.5900000,615201
RTSI,1,20180914,130700,1083.5800000,1083.6000000,1083.4300000,1083.5900000,217616
RTSI,1,20180914,130800,1083.6700000,1084.3100000,1083.6700000,1084.1800000,680857
RTSI,1,20180914,130900,1084.1800000,1084.3800000,1084.1800000,1084.2000000,501679
RTSI,1,20180914,131000,1084.2000000,1084.2400000,1084.0200000,1084.2000000,455295
RTSI,1,20180914,131100,1084.2000000,1084.2100000,1083.7000000,1083.7100000,195133
RTSI,1,20180914,131200,1083.7000000,1083.7700000,1083.6100000,1083.7000000,194551
RTSI,1,20180914,131300,1083.7000000,1084.0300000,1083.6800000,1084.0300000,309433
RTSI,1,20180914,131400,1084.0200000,1084.0600000,1083.7100000,1083.8300000,381325
RTSI,1,20180914,131500,1083.8300000,1083.8600000,1083.6600000,1083.6800000,197326
RTSI,1,20180914,131600,1083.6800000,1083.8000000,1082.8300000,1082.9000000,901495
RTSI,1,20180914,131700,1082.8500000,1082.9800000,1082.7600000,1082.8000000,893446
RTSI,1,20180914,131800,1082.7800000,1083.0100000,1082.7200000,1083.0100000,518046
RTSI,1,20180914,131900,1083.0100000,1083.7000000,1083.0100000,1083.6300000,586421
RTSI,1,20180914,132000,1083.5700000,1083.8100000,1083.5200000,1083.8100000,305226
RTSI,1,20180914,132100,1083.8100000,1084.0000000,1083.7700000,1084.0000000,436750
RTSI,1,20180914,132200,1084.0100000,1084.6400000,1083.9800000,1084.6200000,1223693
RTSI,1,20180914,132300,1084.6300000,1084.6600000,1084.3600000,1084.6600000,953973
RTSI,1,20180914,132400,1084.7900000,1085.3300000,1084.7900000,1085.0000000,1176717
RTSI,1,20180914,132500,1085.0100000,1085.0300000,1084.5500000,1084.7000000,356239
RTSI,1,20180914,132600,1084.7000000,1084.8100000,1084.6200000,1084.8100000,766764
RTSI,1,20180914,132700,1084.8100000,1085.4200000,1084.8100000,1085.4200000,424825
RTSI,1,20180914,132800,1085.4100000,1085.4800000,1084.7200000,1084.7200000,253393
RTSI,1,20180914,132900,1084.8000000,1085.0000000,1084.7500000,1084.9600000,297669
RTSI,1,20180914,133000,1084.9300000,1085.4500000,1084.9300000,1085.2700000,1302843
RTSI,1,20180914,133100,1085.2800000,1085.7600000,1084.6300000,1085.4900000,5301867
RTSI,1,20180914,133200,1085.4800000,1086.7600000,1085.4700000,1086.7400000,3714373
RTSI,1,20180914,133300,1086.5200000,1088.1700000,1086.5200000,1088.0000000,2917692
RTSI,1,20180914,133400,1088.0400000,1092.3300000,1088.0400000,1092.3300000,5654936
RTSI,1,20180914,133500,1092.3800000,1092.9000000,1091.4900000,1091.4900000,2942420
RTSI,1,20180914,133600,1091.4500000,1091.4600000,1090.3800000,1091.4600000,1708693
RTSI,1,20180914,133700,1091.4900000,1094.5100000,1091.4900000,1093.8200000,2579789
RTSI,1,20180914,133800,1093.8100000,1093.8300000,1092.6600000,1093.2700000,2864751
RTSI,1,20180914,133900,1093.3700000,1094.5300000,1093.3700000,1094.0000000,3592969
RTSI,1,20180914,134000,1093.9500000,1095.1700000,1093.9500000,1095.1100000,4435496
RTSI,1,20180914,134100,1095.1800000,1095.3100000,1094.1400000,1094.1400000,2999393
RTSI,1,20180914,134200,1094.1900000,1094.2800000,1093.9900000,1094.1200000,1246214
RTSI,1,20180914,134300,1094.2000000,1094.2000000,1093.4600000,1093.8000000,1341014
RTSI,1,20180914,134400,1093.8200000,1094.3200000,1093.5400000,1094.1300000,2486089
RTSI,1,20180914,134500,1094.1400000,1095.7200000,1094.1100000,1095.6900000,2203509
RTSI,1,20180914,134600,1095.7400000,1096.3600000,1095.4300000,1095.9500000,1777394
RTSI,1,20180914,134700,1095.9400000,1096.0900000,1095.6500000,1095.8000000,1510136
RTSI,1,20180914,134800,1095.7500000,1095.7600000,1094.8400000,1094.8400000,1531349
RTSI,1,20180914,134900,1094.8300000,1095.1400000,1094.5100000,1095.0900000,1239032
RTSI,1,20180914,135000,1095.0800000,1095.1500000,1094.4700000,1094.9400000,1059693
RTSI,1,20180914,135100,1094.9000000,1095.5900000,1094.5900000,1095.5700000,2266340
RTSI,1,20180914,135200,1095.5700000,1095.7500000,1095.3900000,1095.3900000,699095
RTSI,1,20180914,135300,1095.3800000,1095.4100000,1094.6400000,1094.9000000,2110975
RTSI,1,20180914,135400,1094.8600000,1094.9400000,1093.6300000,1093.6800000,1999273
RTSI,1,20180914,135500,1093.5200000,1093.6900000,1093.0100000,1093.4300000,2367325
RTSI,1,20180914,135600,1093.6300000,1093.8800000,1093.3500000,1093.5900000,1603420
RTSI,1,20180914,135700,1093.5900000,1094.2800000,1093.5900000,1094.2800000,1347336
RTSI,1,20180914,135800,1094.1400000,1094.2300000,1093.7700000,1094.0300000,998210
RTSI,1,20180914,135900,1093.9900000,1094.5500000,1093.9900000,1094.5500000,485713
RTSI,1,20180914,140000,1094.4900000,1095.1100000,1094.4600000,1095.1100000,1144212
RTSI,1,20180914,140100,1095.1300000,1095.9400000,1095.0600000,1095.7200000,1757477
RTSI,1,20180914,140200,1095.5700000,1095.9800000,1095.5700000,1095.9800000,447041
RTSI,1,20180914,140300,1096.0000000,1096.3000000,1095.9200000,1096.3000000,1059095
RTSI,1,20180914,140400,1096.3000000,1096.8900000,1096.1800000,1096.8700000,1448891
RTSI,1,20180914,140500,1096.8200000,1097.3600000,1096.8200000,1097.3300000,1379078
RTSI,1,20180914,140600,1097.3300000,1097.3300000,1095.8900000,1096.2600000,2320375
RTSI,1,20180914,140700,1096.1900000,1096.2100000,1095.0500000,1095.0500000,1550168
RTSI,1,20180914,140800,1095.0300000,1095.1100000,1094.6700000,1094.7100000,579422
RTSI,1,20180914,140900,1094.7100000,1094.9100000,1094.7000000,1094.7000000,669669
RTSI,1,20180914,141000,1094.6900000,1094.7100000,1094.4200000,1094.4200000,236352
RTSI,1,20180914,141100,1094.4200000,1094.4900000,1093.7400000,1093.7700000,1077009
RTSI,1,20180914,141200,1093.7500000,1094.0800000,1093.7400000,1093.8900000,420158
RTSI,1,20180914,141300,1093.8600000,1094.1000000,1093.5700000,1093.6400000,1366098
RTSI,1,20180914,141400,1093.6700000,1094.2200000,1093.6700000,1093.9700000,1119247
RTSI,1,20180914,141500,1093.8900000,1094.5300000,1093.8900000,1094.4800000,1480985
RTSI,1,20180914,141600,1094.4500000,1094.5200000,1093.9500000,1093.9600000,1371915
RTSI,1,20180914,141700,1093.9400000,1094.1300000,1093.7000000,1093.7100000,1452277
RTSI,1,20180914,141800,1093.7100000,1094.5400000,1093.7100000,1094.5200000,1033890
RTSI,1,20180914,141900,1094.5200000,1094.5200000,1094.0000000,1094.0300000,448253
RTSI,1,20180914,142000,1094.0400000,1094.0600000,1093.5100000,1093.5400000,983605
RTSI,1,20180914,142100,1093.5400000,1093.5400000,1092.9300000,1093.2100000,2516392
RTSI,1,20180914,142200,1093.2300000,1093.2400000,1092.5600000,1092.6900000,693021
RTSI,1,20180914,142300,1092.7000000,1093.1200000,1092.6200000,1092.7000000,941537
RTSI,1,20180914,142400,1092.7500000,1092.8900000,1092.3100000,1092.5400000,481045
RTSI,1,20180914,142500,1092.5800000,1093.2300000,1092.5500000,1093.2300000,567716
RTSI,1,20180914,142600,1093.2300000,1093.3200000,1093.1600000,1093.2600000,1037720
RTSI,1,20180914,142700,1093.2600000,1093.3600000,1093.1600000,1093.1600000,315932
